# CVS $Revision: $ $Author: $ -- Sat Mar 22 23:29:52 2008 -- reformated by prettylst.pl v1.38 (build 5580)
SOURCELONG:Forged in Magic	SOURCESHORT:FiM	SOURCEWEB:http://www.paradigmconcepts.com
#AUTHOR:E. C. Smith (Maredudd) 2007; Andrew Maitland

#Block: Psicrowns ----------------------------------------------------------------------------
# Equipment Name						Type				Cost		Source Page
val'Abebi Psicrown of the Artisan			TYPE:Psicrown.Headgear	COST:184900	SOURCEPAGE:pg.44
val'Assante Psicrown of Radiant Light		TYPE:Psicrown.Headgear	COST:56550	SOURCEPAGE:pg.45
val'Dellenov Psicrown of the Beast			TYPE:Psicrown.Headgear	COST:68250	SOURCEPAGE:pg.45
val'Inares Psicrown of the Traveler			TYPE:Psicrown.Headgear	COST:106050	SOURCEPAGE:pg.45
val'Mehan Psicrown of the Mind Lord			TYPE:Psicrown.Headgear	COST:93850	SOURCEPAGE:pg.45
val'Sheem Psicrown of the Oracle			TYPE:Psicrown.Headgear	COST:198300	SOURCEPAGE:pg.45
val'Tensen Psicrown of the Valiant Defender	TYPE:Psicrown.Headgear	COST:213600	SOURCEPAGE:pg.46
val'Virdan Psicrown of the Fire Lord		TYPE:Psicrown.Headgear	COST:196850	SOURCEPAGE:pg.46

#Block: Universal Psionic Items ----------------------------------------------------------------
Amulet of Monster Control				TYPE:Psionic		COST:26200	SOURCEPAGE:pg.59
Astral Bell of Summoning				TYPE:Psionic		COST:22680	SOURCEPAGE:pg.59
Boots of Relocation					TYPE:Psionic		COST:23760	SOURCEPAGE:pg.59
Circlet of the Double Mind				TYPE:Psionic		COST:16000	SOURCEPAGE:pg.59
Crystal Cage of Clairsentience			TYPE:Psionic		COST:32000	SOURCEPAGE:pg.60
Crystal Cage of Metacreativity			TYPE:Psionic		COST:32000	SOURCEPAGE:pg.60
Crystal Cage of Psychokinesis				TYPE:Psionic		COST:32000	SOURCEPAGE:pg.60
Crystal Cage of Psychometabolism			TYPE:Psionic		COST:32000	SOURCEPAGE:pg.60
Crystal Cage of Psychoportation			TYPE:Psionic		COST:32000	SOURCEPAGE:pg.60
Crystal Cage of Telepathy				TYPE:Psionic		COST:32000	SOURCEPAGE:pg.60
Crystal Mask of Bats					TYPE:Psionic		COST:30000	SOURCEPAGE:pg.60
Crystal Mask of Pain					TYPE:Psionic		COST:150000	SOURCEPAGE:pg.60
Diadem of the Mental Clarity +1			TYPE:Psionic		COST:667	SOURCEPAGE:pg.60
Diadem of the Mental Clarity +2			TYPE:Psionic		COST:2667	SOURCEPAGE:pg.60
Diadem of the Mental Clarity +3			TYPE:Psionic		COST:6000	SOURCEPAGE:pg.60
Diadem of the Mental Clarity +4			TYPE:Psionic		COST:10667	SOURCEPAGE:pg.60
Diadem of the Mental Clarity +5			TYPE:Psionic		COST:16667	SOURCEPAGE:pg.60
Golden Bee of the Planarch				TYPE:Psionic		COST:7000	SOURCEPAGE:pg.61
Psychoactive Skin of Contortion			TYPE:Psionic		COST:10000	SOURCEPAGE:pg.61
Psychoactive Skin of the Rat				TYPE:Psionic		COST:40500	SOURCEPAGE:pg.61
Scarab of Catastrophic Protection			TYPE:Psionic		COST:156000	SOURCEPAGE:pg.61
Talisman of Unassailable Intellect			TYPE:Psionic		COST:64800	SOURCEPAGE:pg.62
Third Eye Aware Lesser					TYPE:Psionic		COST:2500	SOURCEPAGE:pg.62
Third Eye Concentrate Lesser				TYPE:Psionic		COST:2500	SOURCEPAGE:pg.62
Third Eye Gather Lesser					TYPE:Psionic		COST:2500	SOURCEPAGE:pg.62
Third Eye of Low-Light Vision				TYPE:Psionic		COST:12000	SOURCEPAGE:pg.62
Torc of the Berserker					TYPE:Psionic		COST:45400	SOURCEPAGE:pg.62
Torc of the Berserker Greater				TYPE:Psionic		COST:120750	SOURCEPAGE:pg.62
Torc of the Berserker Lesser				TYPE:Psionic		COST:12400	SOURCEPAGE:pg.63
Wailing Stone of Lost Souls				TYPE:Psionic		COST:8500	SOURCEPAGE:pg.63

#EOF
